site,plot,size,记录名称,中名,species,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,cover,production,investigator,recorder,time,Total cover(%),AH1,AH2,AH3,AH4,AH5
H,I-9,50cm*50cm,点地梅,,Androsace minor ,1.5,1.4,1.8,0.8,1.1,0.5,1.2,0.8,1.4,1.1,0.8,0.3015 ,张莉,彭阿辉,2015.07.29,,,,,,
H,I-10,50cm*50cm,点地梅,,Androsace minor ,1.1,0.8,1.4,0.6,0.6,0.8,1.4,1.6,1.1,0.8,16,8.4072 ,张莉,何小红,2015.08.01,,,,,,
H,I-11,50cm*50cm,点地梅,,Androsace minor ,0.5,0.4,0.6,0.4,0.9,1.1,0.8,0.4,0.1,0.2,8,2.2003 ,张莉,何小红,2015.08.01,,,,,,
H,I-12,50cm*50cm,点地梅,,Androsace minor ,0.5,1.1,0.7,0.3,0.6,0.7,0.5,0.6,0.5,0.6,3,0.2117 ,张莉,何小红,2015.08.01,,,,,,
H,I-13,50cm*50cm,点地梅,,Androsace minor ,1.8,1.8,1.5,1.6,1.9,1.2,1.7,1.8,1.5,1.6,2.4,0.8642 ,张莉,何小红,2015.08.01,,,,,,
H,I-13,50cm*50cm,点地梅,,Androsace minor ,1.8,0.5,0.9,0.8,1.1,1.1,0.8,0.6,0.5,0.4,5,0.8642 ,张莉,何小红,2015.08.01,,,,,,
H,I-1,50cm*50cm,东俄洛风毛菊,,Saussurea pachyneura,1.1,1.8,1.8,1.4,0.8,0.8,1.1,0.7,0.6,0.1,2.5,1.4614 ,张莉,彭阿辉,2015.07.24,,,,,,
H,I-3,50cm*50cm,东俄洛风毛菊,,Saussurea pachyneura,2,1.8,2.2,,,,,,,,2.2,1.1045 ,张莉,彭阿辉,2015.07.25,,,,,,
H,I-4,50cm*50cm,东俄洛风毛菊,,Saussurea pachyneura,1.5,,,,,,,,,,0.2,0.0263 ,张莉,彭阿辉,2015.07.25,,,,,,
H,I-8,50cm*50cm,东俄洛风毛菊,,Saussurea pachyneura,2.8,1.7,2,1.5,,,,,,,2,0.9246 ,张莉,谭开军,2015.07.26,,,,,,
